rollout/episodes,reference_action_std,eval/return,eval/episodes,rollout/return_history,rollout/return,total/duration,ret_rms_std,total/epochs,rollout/Q_mean,obs_rms_std,ret_rms_mean,total/episodes,reference_Q_std,rollout/actions_mean,total/steps_per_second,eval/Q,total/steps,reference_actor_Q_mean,reference_actor_Q_std,rollout/actions_std,eval/return_history,reference_action_mean,train/loss_critic,train/loss_actor,obs_rms_mean,reference_Q_mean,train/param_noise_distance,rollout/episode_steps
575.0,0.9146851301193237,1257.4329599376633,575.0,898.3748669504116,800.4395336225183,10651.14484000206,1.0,575,275.3717956542969,2.8217029571533203,0.0,575.0,2.899326801300049,-0.059063658118247986,53.984807139275446,371.3364562988281,575000,384.10174560546875,3.1272261142730713,0.6726014614105225,1155.0603685323676,0.1496773511171341,134.31478881835938,-328.2608337402344,0.16262094676494598,381.44512939453125,0.0,1000.0
576.0,0.9085084795951843,791.9094363020986,576.0,900.1240258035468,800.0388827604864,10670.411844015121,1.0,576,275.3210144042969,2.823270797729492,0.0,576.0,1.5757625102996826,-0.05914631113409996,53.98104669437572,304.4263000488281,576000,382.9569091796875,1.7135980129241943,0.6728084683418274,1148.7219418998973,0.1652875691652298,136.9886474609375,-328.5406188964844,0.16265375912189484,380.75994873046875,0.0,1000.0
577.0,0.8989265561103821,760.4619527806536,577.0,892.6374480293941,798.9798322192415,10689.625525951385,1.0,577,275.15740966796875,2.8250179290771484,0.0,577.0,1.4000526666641235,-0.05916668847203255,53.97756905508124,274.5189208984375,577000,383.90106201171875,2.219837188720703,0.6730440258979797,1139.0197992068777,0.09682416170835495,136.66650390625,-328.2004699707031,0.16265998780727386,381.2754211425781,0.0,1000.0
578.0,0.9081916809082031,514.671111134519,578.0,891.8114011629133,799.4591813654988,10708.814479351044,1.0,578,275.3567199707031,2.8254871368408203,0.0,578.0,1.209647297859192,-0.05940285325050354,53.97422853057278,246.2458953857422,578000,384.5503845214844,1.8289198875427246,0.6731094121932983,1128.9130704103093,0.08717731386423111,69.10115051269531,-324.5615539550781,0.16265513002872467,381.433349609375,0.0,1000.0
579.0,0.903745174407959,987.1717622675309,579.0,884.5439989781775,799.5712044859715,10727.974051952362,1.0,579,275.5514831542969,2.8255672454833984,0.0,579.0,1.3047876358032227,-0.0591849721968174,53.97104776690143,298.1675720214844,579000,384.5607604980469,1.7499778270721436,0.6731138825416565,1123.4449309129266,0.03069315105676651,112.93484497070312,-328.677978515625,0.16269513964653015,382.2681884765625,0.0,1000.0
580.0,0.913659393787384,586.7809348198628,580.0,883.2028900199549,800.1644980804541,10747.06707239151,1.0,580,275.7529296875,2.8251965045928955,0.0,580.0,1.1671748161315918,-0.05944579839706421,53.968212545167866,265.31463623046875,580000,385.043701171875,1.4275801181793213,0.6730794906616211,1114.1062366797137,-0.015359915792942047,185.5341033935547,-325.4623107910156,0.16267016530036926,382.91156005859375,0.0,1000.0
581.0,0.9251345992088318,579.0378324114865,581.0,882.8489250982826,800.818636905861,10765.899606704712,1.0,581,275.95050048828125,2.8257060050964355,0.0,581.0,2.7737560272216797,-0.05938134342432022,53.966693098101054,251.32862854003906,581000,384.8428955078125,3.082897901535034,0.6730730533599854,1103.4474614975181,0.07970941066741943,136.54281616210938,-328.0732421875,0.16269995272159576,382.1382141113281,0.0,1000.0
582.0,0.9159043431282043,1034.8950224572338,582.0,878.6028906535529,801.0839316213832,10784.679796934128,1.0,582,276.04486083984375,2.8264286518096924,0.0,582.0,2.303121328353882,-0.05941632390022278,53.965440880817916,301.6163024902344,582000,383.0115966796875,1.9174554347991943,0.6731569766998291,1098.226601147234,0.0819258913397789,132.61277770996094,-326.16094970703125,0.16271251440048218,380.97857666015625,0.0,1000.0
583.0,0.886459231376648,537.4818870634978,583.0,871.5922352880485,800.520226597338,10803.466734170914,1.0,583,275.9219970703125,2.8279306888580322,0.0,583.0,1.2465540170669556,-0.05960341542959213,53.964159315268255,222.74282836914062,583000,384.04193115234375,1.6319650411605835,0.6733636260032654,1091.212896535568,0.14586132764816284,114.20768737792969,-325.9027404785156,0.1626483052968979,380.895263671875,0.0,1000.0
584.0,0.9101951718330383,462.75422402742316,584.0,863.6710306990612,799.8378370818622,10822.335790634155,1.0,584,275.6939392089844,2.8303065299987793,0.0,584.0,1.6994357109069824,-0.0596696101129055,53.96247273212536,208.0739288330078,584000,383.91314697265625,1.8388917446136475,0.6737284660339355,1085.0685648113024,0.15650276839733124,156.9308319091797,-326.8428649902344,0.16267018020153046,381.35504150390625,0.0,1000.0
