total/steps,ret_rms_std,rollout/episodes,train/loss_critic,rollout/actions_std,rollout/episode_steps,total/epochs,rollout/Q_mean,reference_perturbed_action_mean,rollout/return_history,reference_Q_mean,train/loss_actor,param_noise_stddev,reference_action_std,eval/return_history,obs_rms_std,total/steps_per_second,reference_actor_Q_mean,total/episodes,reference_Q_std,eval/Q,rollout/return,ret_rms_mean,reference_actor_Q_std,obs_rms_mean,reference_action_mean,eval/return,total/duration,eval/episodes,train/param_noise_distance,reference_perturbed_action_std,rollout/actions_mean
41000,1.0,681.0,1026.315673828125,0.8015332818031311,60.205580029368576,41,283.0348205566406,-0.034884341061115265,371.12640971257235,351.7377014160156,-429.21807861328125,0.015973535632157008,0.8410881757736206,341.31519674217566,7.130051612854004,66.30207711668297,376.1944885253906,681.0,274.9376525878906,465.0374755859375,287.8873252901673,0.0,284.72491455078125,1.785846471786499,-0.06157533451914787,336.84270519260525,618.3818333148956,41.0,0.20329511165618896,0.8314593434333801,0.09887364506721497
42000,1.0,692.0,1259.7283935546875,0.8021752238273621,60.592485549132945,42,288.5708312988281,0.012413404881954193,379.77225958701814,365.4447021484375,-424.20037841796875,0.0156587938752642,0.8479291200637817,340.4115160073095,7.123327255249023,66.30147392423007,392.1651611328125,692.0,284.8400573730469,582.09814453125,289.3812847783832,0.0,293.2931213378906,1.7873687744140625,-0.03823111206293106,303.36060587779883,633.4700801372528,42.0,0.2084130197763443,0.8378172516822815,0.09920056164264679
43000,1.0,706.0,1220.7088623046875,0.8037446737289429,60.90084985835694,43,292.3686218261719,0.02944991923868656,379.54358124193755,364.6712646484375,-436.8922119140625,0.01695622994987775,0.8360782265663147,341.897184738434,7.123881816864014,66.28922285678397,390.9492492675781,706.0,284.4723205566406,513.658447265625,290.9649621143377,0.0,291.66302490234375,1.7892645597457886,0.09653306007385254,404.2952714456637,648.6725616455078,43.0,0.1923367977142334,0.8438591957092285,0.09909874200820923
44000,1.0,718.0,1239.192138671875,0.8053615093231201,61.16155988857939,44,295.81622314453125,0.003107658354565501,379.1752016868515,371.97235107421875,-446.6298828125,0.017297050171870294,0.8510547280311584,345.10064288693286,7.116695404052734,66.26489958827682,403.6419677734375,718.0,289.9331970214844,567.909423828125,292.0930859951258,0.0,298.8512268066406,1.7927380800247192,0.014889010228216648,482.84934327238335,664.0016098022461,44.0,0.22596612572669983,0.8497090935707092,0.1000591591000557
45000,1.0,728.0,1078.8404541015625,0.8074877858161926,61.612637362637365,45,300.0870056152344,-0.1481427252292633,397.9063856716171,387.937255859375,-452.27899169921875,0.017297050171870294,0.8444938659667969,347.3977765691209,7.092432975769043,66.24134934202723,418.1000671386719,728.0,299.1234436035156,513.4816284179688,294.1625072095042,0.0,308.0997314453125,1.7921388149261475,-0.11995666474103928,448.47165858539313,679.3339877128601,45.0,0.18487387895584106,0.8455904126167297,0.09836200624704361
46000,1.0,743.0,1202.6602783203125,0.809091329574585,61.908479138627186,46,304.1167907714844,-0.11582393944263458,387.01875759651034,404.316650390625,-482.10601806640625,0.017644720880324885,0.8561992645263672,347.0729992626984,7.093080043792725,66.24078980841614,432.44598388671875,743.0,319.55352783203125,524.1451416015625,295.0614288282035,0.0,326.8468322753906,1.7886414527893066,-0.08274350315332413,332.45802047368625,694.4361643791199,46.0,0.21286721527576447,0.8557665944099426,0.09694778174161911
47000,1.0,757.0,1239.8790283203125,0.8104628324508667,62.064729194187585,47,309.13543701171875,-0.04865023493766785,372.25383900888664,417.22772216796875,-462.1133728027344,0.017297050171870294,0.852851927280426,344.47234803466904,7.0761847496032715,66.25958798478233,442.88031005859375,757.0,324.5802001953125,472.50848388671875,295.63516512593844,0.0,332.0220947265625,1.7848926782608032,-0.06652841717004776,224.84239154531798,709.3313047885895,47.0,0.21966685354709625,0.8593104481697083,0.09362217783927917
48000,1.0,775.0,1384.0562744140625,0.8117481470108032,61.92645161290323,48,312.1928405761719,0.025554049760103226,346.003934614457,414.29833984375,-474.0562438964844,0.01662212523270047,0.8549486994743347,345.54231513064434,7.091631889343262,66.25795537379585,441.5119934082031,775.0,328.6522521972656,487.5721130371094,295.21852543102665,0.0,338.78143310546875,1.783858060836792,0.0067681847140192986,395.83076864148137,724.4413101673126,48.0,0.20796039700508118,0.8418047428131104,0.09240364283323288
49000,1.0,786.0,1476.008544921875,0.8126112222671509,62.23155216284987,49,317.2419738769531,0.044804349541664124,348.5885956199595,410.10931396484375,-481.2049865722656,0.017999379770019416,0.864411473274231,349.2224297094683,7.069782733917236,66.22705994163408,437.619873046875,786.0,338.3738098144531,575.5392456054688,296.4162456730761,0.0,347.794189453125,1.7868605852127075,0.014113489538431168,525.8679294930174,739.8788356781006,49.0,0.18710069358348846,0.8527337312698364,0.09354539215564728
50000,1.0,797.0,1532.830322265625,0.813585638999939,62.68632371392723,50,323.0340270996094,0.0771169364452362,357.09786963541694,408.2056579589844,-477.6336364746094,0.017999379770019416,0.8653439283370972,351.00391027868807,7.046205043792725,66.19830656853476,438.04925537109375,797.0,323.8222351074219,570.6152954101562,298.3771420303872,0.0,332.1172180175781,1.7902122735977173,0.06319258362054825,438.2964581704549,755.30633020401,50.0,0.23242513835430145,0.8575620055198669,0.09455980360507965
