total/steps,reference_actor_Q_std,reference_actor_Q_mean,ret_rms_mean,reference_Q_mean,obs_rms_std,param_noise_stddev,reference_Q_std,eval/return_history,eval/return,obs_rms_mean,total/episodes,train/loss_actor,rollout/actions_std,reference_action_mean,eval/episodes,train/param_noise_distance,reference_perturbed_action_std,reference_perturbed_action_mean,ret_rms_std,total/steps_per_second,rollout/actions_mean,rollout/episodes,train/loss_critic,reference_action_std,eval/Q,rollout/return,rollout/episode_steps,rollout/return_history,rollout/Q_mean,total/epochs,total/duration
875000,6.862321853637695,516.39111328125,0.0,512.8629760742188,2.4736883640289307,0.019106704324195603,6.994281768798828,2812.30220707571,3395.5126401804446,0.1385025531053543,875.0,-538.3283081054688,0.7559788823127747,0.07474285364151001,875.0,0.19947633147239685,0.823432207107544,0.10198047012090683,1.0,44.47686575141803,0.08486104011535645,875.0,145.23666381835938,0.7635550498962402,568.1339111328125,1726.5964702007677,1000.0,2588.7034953080642,377.7320556640625,875,19673.148843050003
876000,6.779688835144043,515.1197509765625,0.0,511.8350524902344,2.474043130874634,0.018730226766195082,6.5538201332092285,2826.857732581297,3491.2974345683892,0.13846415281295776,876.0,-536.9761962890625,0.7559827566146851,0.13701629638671875,876.0,0.19113250076770782,0.8068116307258606,0.09690984338521957,1.0,44.47576309852606,0.08462459594011307,876.0,297.7308349609375,0.7951288223266602,567.0477294921875,1727.0545698432745,1000.0,2606.5142724221446,377.9336853027344,876,19696.120740175247
877000,5.736330986022949,518.886474609375,0.0,515.6347045898438,2.474541425704956,0.018361167303396805,5.602569103240967,2831.5113633129863,3150.0258810271052,0.13847850263118744,877.0,-538.288330078125,0.7558878660202026,0.17592079937458038,877.0,0.22287368774414062,0.7150033712387085,0.27666935324668884,1.0,44.4746364335713,0.0844995304942131,877.0,392.1025695800781,0.7498823404312134,566.6397705078125,1728.4562292074183,1000.0,2621.5372324102204,378.1471252441406,877,19719.104422807693
878000,6.379779815673828,518.99462890625,0.0,515.431884765625,2.475062847137451,0.018361167303396805,6.370089530944824,2856.633409441399,3161.3961321666684,0.1385282576084137,878.0,-535.96044921875,0.755869448184967,0.16973209381103516,878.0,0.1889645904302597,0.7684293985366821,0.14626537263393402,1.0,44.47385971412662,0.0844089537858963,878.0,342.4710693359375,0.7673155069351196,565.7954711914062,1729.672502744414,1000.0,2624.861278873892,378.3558044433594,878,19741.933928012848
879000,5.44903039932251,519.6882934570312,0.0,515.97119140625,2.4755423069000244,0.017297050171870294,4.987154483795166,2860.006244264769,2877.330736401086,0.13853982090950012,879.0,-538.1699829101562,0.7558127045631409,0.16119296848773956,879.0,0.2028670310974121,0.8562135100364685,0.12085006386041641,1.0,44.47292443858706,0.08414618670940399,879.0,430.4255065917969,0.805185079574585,559.9227294921875,1731.149776144651,1000.0,2650.7029882307666,378.56793212890625,879,19764.834696531296
880000,6.093752384185791,519.1265869140625,0.0,515.7942504882812,2.475909948348999,0.017297050171870294,6.5375776290893555,2864.083429004163,3128.3007336217793,0.13858956098556519,880.0,-536.355712890625,0.7558260560035706,0.1683804988861084,880.0,0.22075852751731873,0.8276988863945007,0.07977578788995743,1.0,44.471752809982455,0.08401966094970703,880.0,320.2718200683594,0.7804433703422546,564.5902099609375,1732.6029782982905,1000.0,2655.417312064228,378.77789306640625,880,19787.84159374237
881000,7.086069583892822,516.6124267578125,0.0,513.6461791992188,2.476174831390381,0.017644720880324885,6.48426628112793,2875.617542971346,2995.5174035899163,0.13861694931983948,881.0,-536.0667724609375,0.7558045387268066,0.12411872297525406,881.0,0.19097138941287994,0.7587841153144836,0.08540413528680801,1.0,44.46984487272988,0.08377322554588318,881.0,159.7050323486328,0.7500261664390564,563.5595703125,1733.9655458659101,1000.0,2688.7139440399233,378.987548828125,881,19811.17772102356
882000,6.78883695602417,518.331787109375,0.0,515.36181640625,2.476445436477661,0.01695622994987775,6.3986430168151855,2876.653790502022,2990.083381757505,0.13859641551971436,882.0,-537.59228515625,0.7557861804962158,0.09737906605005264,882.0,0.1401304006576538,0.7740110158920288,0.10267666727304459,1.0,44.46880900797706,0.08345969021320343,882.0,248.88429260253906,0.7541846632957458,563.7620239257812,1734.7491981168296,1000.0,2688.5362331431475,379.1877136230469,882,19834.126878499985
883000,6.2167277336120605,519.1260986328125,0.0,516.9170532226562,2.476768970489502,0.017297050171870294,5.571707248687744,2875.383509990336,2744.467287928412,0.1385934203863144,883.0,-538.1355590820312,0.7557294368743896,0.1612328439950943,883.0,0.21028448641300201,0.752231776714325,0.10302732139825821,1.0,44.46722089253406,0.08326926082372665,883.0,386.4993896484375,0.7167962789535522,561.0388793945312,1736.0411901376217,1000.0,2694.1708169864487,379.3962707519531,883,19857.323715686798
884000,6.810113906860352,520.0526123046875,0.0,517.2080078125,2.4771764278411865,0.017644720880324885,6.522263526916504,2882.3602202386514,3136.9380795701404,0.13862548768520355,884.0,-537.5567626953125,0.7556703090667725,0.15987081825733185,884.0,0.2536291182041168,0.7377392053604126,0.1593589335680008,1.0,44.4660630403425,0.08306517452001572,884.0,389.61346435546875,0.7161730527877808,566.3436279296875,1736.6713640008788,1000.0,2688.0516847826725,379.59405517578125,884,19880.32984161377
