total/steps,train/param_noise_distance,rollout/return_history,eval/return,rollout/Q_mean,rollout/actions_mean,total/epochs,reference_actor_Q_std,rollout/actions_std,reference_actor_Q_mean,total/duration,reference_Q_std,train/loss_actor,reference_action_std,eval/return_history,obs_rms_mean,ret_rms_mean,reference_action_mean,rollout/episodes,ret_rms_std,train/loss_critic,total/steps_per_second,total/episodes,obs_rms_std,reference_Q_mean,eval/episodes,rollout/episode_steps,rollout/return,eval/Q
48000,0.0,187.95055144223065,785.2261095620223,153.2711181640625,0.03157458454370499,48,135.2091827392578,0.7159526944160461,189.71591186523438,1925.8763539791107,134.13404846191406,-231.10516357421875,0.891116201877594,201.3624470314667,0.10392913967370987,0.0,-0.023590415716171265,48.0,1.0,26.5869083404541,24.923718441646457,48.0,2.460615873336792,187.50421142578125,48.0,1000.0,187.95055144223065,296.80633544921875
49000,0.0,190.4427602528359,-340.8167087205288,156.15187072753906,0.03246459737420082,49,134.1634063720703,0.7155870795249939,190.08560180664062,1965.833345413208,133.47683715820312,-234.96319580078125,0.8763821721076965,190.29756630183414,0.10447551310062408,0.0,0.039789896458387375,49.0,1.0,40.320220947265625,24.925815870571903,49.0,2.46089506149292,188.80935668945312,49.0,1000.0,190.4427602528359,278.2218933105469
50000,0.0,185.0929210578428,-308.78512974524403,155.41677856445312,0.036168135702610016,50,132.799072265625,0.7163844108581543,189.82797241210938,2005.8449757099152,131.98036193847656,-230.67649841308594,0.9179227352142334,180.3159123808926,0.10614331811666489,0.0,0.10445979982614517,50.0,1.0,31.00446128845215,24.927150704806504,50.0,2.4502148628234863,188.79554748535156,50.0,1000.0,185.0929210578428,285.2275390625
51000,0.0,172.8070550988559,526.5887269901915,157.8349609375,0.029591264203190804,51,132.60940551757812,0.7203044295310974,188.30520629882812,2045.8439326286316,132.23326110839844,-230.08937072753906,0.9116312861442566,187.10557541244748,0.09997550398111343,0.0,0.20985884964466095,51.0,1.0,49.83503723144531,24.928587751301208,51.0,2.443854808807373,186.72967529296875,51.0,1000.0,172.8070550988559,291.1361389160156
52000,0.0,171.67816221693562,167.48241628879504,160.34591674804688,0.030283378437161446,52,133.12742614746094,0.7198435068130493,184.7349853515625,2085.9493873119354,132.59652709960938,-228.6000213623047,0.8992334008216858,186.72820696776185,0.10009181499481201,0.0,0.14714781939983368,52.0,1.0,19.575420379638672,24.9286968879959,52.0,2.4421825408935547,183.49639892578125,52.0,1000.0,171.67816221693562,286.28070068359375
53000,0.0,174.27819014847742,393.3105229342858,162.70323181152344,0.0323098823428154,53,132.20787048339844,0.7192794680595398,179.03436279296875,2125.9247102737427,131.93359375,-223.20216369628906,0.8443835377693176,190.62598651430002,0.10049084573984146,0.0,0.16978172957897186,53.0,1.0,41.40619659423828,24.93032784457146,53.0,2.4497923851013184,178.13308715820312,53.0,1000.0,174.27819014847742,265.3782043457031
54000,0.0,178.40346394481753,167.96895871570234,164.91896057128906,0.03369728475809097,54,131.43093872070312,0.7188637852668762,177.8875732421875,2165.911404132843,130.5362548828125,-222.7263641357422,0.8972201943397522,190.20641192543712,0.10110802203416824,0.0,0.04175891354680061,54.0,1.0,23.41954803466797,24.93176770617714,54.0,2.452537775039673,176.72915649414062,54.0,1000.0,178.40346394481753,157.2707977294922
55000,0.0,177.6318789589049,667.2246108586379,166.9677276611328,0.03564569726586342,55,130.38433837890625,0.7184011936187744,175.07147216796875,2205.7508442401886,129.76931762695312,-219.90150451660156,0.8517470955848694,198.87947008785895,0.1008254811167717,0.0,-0.15383943915367126,55.0,1.0,35.00733184814453,24.93481987941651,55.0,2.459676742553711,173.92686462402344,55.0,1000.0,177.6318789589049,277.9440002441406
56000,0.0,177.565953189644,635.9351604569155,168.9052276611328,0.03898460417985916,56,129.83200073242188,0.718306839466095,172.9298095703125,2245.6732969284058,129.3181915283203,-218.15945434570312,0.8748223781585693,206.68403598730637,0.10151608288288116,0.0,-0.06486263871192932,56.0,1.0,28.98843765258789,24.936841915783504,56.0,2.457815647125244,171.78631591796875,56.0,1000.0,177.565953189644,275.2013854980469
57000,0.0,182.3197807589505,589.6764982519626,170.7509307861328,0.03847389668226242,57,128.4974365234375,0.7177016735076904,172.4558868408203,2285.6073582172394,127.8844985961914,-217.4146270751953,0.8613311648368835,213.40320199194946,0.10156313329935074,0.0,-0.04151732847094536,57.0,1.0,8.638823509216309,24.938666650277007,57.0,2.4590046405792236,171.16722106933594,57.0,1000.0,182.3197807589505,273.5977783203125
