eval/return_history,train/param_noise_distance,rollout/actions_mean,total/epochs,obs_rms_std,obs_rms_mean,reference_actor_Q_std,ret_rms_std,eval/episodes,ret_rms_mean,rollout/return_history,total/duration,eval/Q,total/steps_per_second,rollout/episodes,rollout/return,eval/return,train/loss_actor,reference_Q_std,reference_Q_mean,reference_action_std,rollout/episode_steps,total/episodes,train/loss_critic,total/steps,rollout/Q_mean,reference_action_mean,rollout/actions_std,reference_actor_Q_mean
2333.2511638772876,0.0,-0.29897573590278625,803,2.179487466812134,0.026887575164437294,14.669689178466797,1.0,803.0,0.0,1845.9250566312082,10810.242997646332,481.8980407714844,74.28140146108036,803.0,1452.9556891561708,2096.7271981671174,-463.93804931640625,15.181523323059082,438.3082580566406,0.8246086835861206,1000.0,803.0,267.04168701171875,803000,410.1069030761719,-0.13536956906318665,0.623408317565918,440.3851013183594
2330.8055623542496,0.0,-0.29900893568992615,804,2.1794357299804688,0.026924945414066315,14.420838356018066,1.0,804.0,0.0,1856.9921375252138,10824.13447880745,482.7139892578125,74.27845631206355,804.0,1453.4631598769997,2295.2163226565062,-465.3360595703125,14.682660102844238,437.1545104980469,0.8017669916152954,1000.0,804.0,227.56704711914062,804000,410.1925964355469,0.017840823158621788,0.6233897805213928,437.86468505859375
2329.218610574528,0.0,-0.2989939749240875,805,2.1792428493499756,0.026958102360367775,15.270820617675781,1.0,805.0,0.0,1856.3574813430987,10837.86271739006,482.3037414550781,74.27663746915015,805.0,1453.9432552826272,2190.2199361914563,-465.2207946777344,15.410553932189941,436.5941162109375,0.8198754191398621,1000.0,805.0,223.37017822265625,805000,410.2786865234375,0.0757172703742981,0.6233953833580017,438.7972412109375
2322.7975133626555,0.0,-0.2992080748081207,806,2.1789913177490234,0.026948681101202965,14.813057899475098,1.0,806.0,0.0,1858.3412044117777,10851.627545833588,480.65289306640625,74.27457278603876,806.0,1454.8894754072314,1875.2546569161884,-466.760498046875,15.241379737854004,438.28607177734375,0.8541043400764465,1000.0,806.0,93.05650329589844,806000,410.3695373535156,-0.019861916080117226,0.6233781576156616,440.6250305175781
2320.2546218207244,0.0,-0.29922711849212646,807,2.1789047718048096,0.02694559283554554,14.941740989685059,1.0,807.0,0.0,1857.9102408715053,10865.445612192154,483.9090881347656,74.27214941782623,807.0,1455.325084519254,2237.3060587096356,-466.31524658203125,16.01971435546875,436.99542236328125,0.8685975074768066,1000.0,807.0,96.18010711669922,807000,410.4560241699219,-0.07793068885803223,0.6235255599021912,440.60992431640625
2320.4798343321945,0.0,-0.2991655468940735,808,2.178556442260742,0.026928188279271126,14.580774307250977,1.0,808.0,0.0,1847.8631825451967,10879.31779909134,485.5362854003906,74.26936274142903,808.0,1454.914899165216,2511.0978694332107,-466.24542236328125,16.391620635986328,438.45745849609375,0.7655024528503418,1000.0,808.0,201.5011749267578,808000,410.5316162109375,0.11456727981567383,0.6234671473503113,441.10400390625
2316.1145891885103,0.0,-0.29919517040252686,809,2.178550958633423,0.02694285847246647,15.270835876464844,1.0,809.0,0.0,1850.2860658787167,10893.181733608246,480.3258972167969,74.26663942491922,809.0,1455.8204785358157,1926.9860693332805,-465.0625305175781,15.823362350463867,441.2230224609375,0.7702415585517883,1000.0,809.0,164.45425415039062,809000,410.61993408203125,0.048618417233228683,0.6234391331672668,443.2572021484375
2313.242009387345,0.0,-0.29920539259910583,810,2.178698778152466,0.02694796398282051,15.712207794189453,1.0,810.0,0.0,1848.7532372176584,10906.95306444168,482.0423889160156,74.2645535571912,810.0,1456.3116002302538,2208.1191818021475,-466.2781982421875,16.006465911865234,439.37030029296875,0.7873890399932861,1000.0,810.0,416.49176025390625,810000,410.7052307128906,-0.01936778426170349,0.6233928799629211,441.45220947265625
2315.6460022701776,0.0,-0.2991616427898407,811,2.1788477897644043,0.026952620595693588,13.048633575439453,1.0,811.0,0.0,1850.2483921669834,10920.963747501373,482.8746643066406,74.26084535676168,811.0,1456.761953469228,2540.9659940806605,-466.18438720703125,14.293159484863281,440.3553771972656,0.8474624156951904,1000.0,811.0,224.55450439453125,811000,410.78961181640625,0.04925622418522835,0.623350203037262,442.91754150390625
2317.6833788375807,0.0,-0.2992393672466278,812,2.1789159774780273,0.026983248069882393,12.224185943603516,1.0,812.0,0.0,1853.7928765053002,10934.809947013855,481.466064453125,74.25826364926863,812.0,1457.1138022036416,2627.9101969532994,-464.84539794921875,12.800045013427734,439.64886474609375,0.864788293838501,1000.0,812.0,495.938232421875,812000,410.87005615234375,-0.059979815036058426,0.6233600378036499,442.66845703125
2317.8815289005274,0.0,-0.29928484559059143,813,2.179311990737915,0.0269961915910244,12.237174034118652,1.0,813.0,0.0,1854.0065810854792,10948.658833265305,482.45440673828125,74.25567024975356,813.0,1458.0662331933786,2554.488492588888,-465.0937805175781,11.513747215270996,438.5570983886719,0.8694257140159607,1000.0,813.0,291.7029113769531,813000,410.9551086425781,-0.1149064376950264,0.6233424544334412,441.16473388671875
2318.6468605347386,0.0,-0.299335241317749,814,2.179309129714966,0.027002956718206406,12.755819320678711,1.0,814.0,0.0,1856.0759767666352,10962.544046163559,482.9200134277344,74.25283734981814,814.0,1459.0038156560374,2601.224377469752,-465.8619079589844,12.677424430847168,439.9667053222656,0.8763595819473267,1000.0,814.0,98.63665008544922,814000,411.0404052734375,-0.04220116138458252,0.6233908534049988,443.070068359375
2314.93858252773,0.0,-0.2993931472301483,815,2.1792640686035156,0.026996325701475143,13.717496871948242,1.0,815.0,0.0,1854.9778692012426,10976.387104988098,482.17584228515625,74.25029676929235,815.0,1459.4871532372051,2239.960988158481,-464.0683288574219,14.436908721923828,436.64288330078125,0.8483951091766357,1000.0,815.0,210.22557067871094,815000,411.1219177246094,-0.04215695336461067,0.6234105825424194,440.099365234375
2315.938929122051,0.0,-0.29943740367889404,816,2.179255723953247,0.027028268203139305,15.766024589538574,1.0,816.0,0.0,1851.2113402099992,10990.302005767822,479.1105041503906,74.2472772424047,816.0,1460.047563719574,2019.5210478253878,-464.73126220703125,14.835283279418945,436.00067138671875,0.8526725769042969,1000.0,816.0,146.19204711914062,816000,411.203125,-0.10960177332162857,0.623346745967865,439.6994934082031
2308.991385784509,0.0,-0.29966241121292114,817,2.1791861057281494,0.02702775038778782,15.382803916931152,1.0,817.0,0.0,1849.406086849797,11004.173810958862,477.75799560546875,74.24455611436855,817.0,1460.34907624257,1865.848618689286,-464.45477294921875,14.49101734161377,437.30426025390625,0.8637993335723877,1000.0,817.0,231.95481872558594,817000,411.28204345703125,-0.14424476027488708,0.623322069644928,440.2988586425781
2306.246338438509,0.0,-0.29987460374832153,818,2.179072141647339,0.027052083984017372,16.95509147644043,1.0,818.0,0.0,1851.893915261713,11018.050488471985,482.13128662109375,74.24180900748827,818.0,1461.2058727781625,2369.4028612097172,-462.0740661621094,15.441169738769531,439.0761413574219,0.7892586588859558,1000.0,818.0,146.71743774414062,818000,411.3671875,-0.2751273512840271,0.6232945322990417,441.9297180175781
2306.439164281364,0.0,-0.2999304234981537,819,2.1791787147521973,0.027068693190813065,17.18793296813965,1.0,819.0,0.0,1856.3817757927525,11031.930207014084,482.585205078125,74.23904834706813,819.0,1462.0842899274448,2416.328344893742,-464.9510803222656,16.505523681640625,439.9233093261719,0.8279041647911072,1000.0,819.0,129.6907196044922,819000,411.45159912109375,-0.10053541511297226,0.6232659220695496,443.45648193359375
