total/steps,rollout/actions_std,ret_rms_mean,total/episodes,total/epochs,rollout/return,rollout/Q_mean,eval/Q,ret_rms_std,rollout/episode_steps,eval/return,reference_Q_std,eval/return_history,reference_action_std,train/param_noise_distance,train/loss_actor,train/loss_critic,obs_rms_mean,rollout/episodes,rollout/actions_mean,eval/episodes,obs_rms_std,reference_Q_mean,reference_actor_Q_mean,reference_actor_Q_std,total/duration,rollout/return_history,reference_action_mean,total/steps_per_second
44000,0.7227892875671387,0.0,44.0,44,0.6866719472425309,101.28394317626953,-11.87294864654541,1.0,1000.0,-390.4809672679372,106.4348373413086,105.57754262328535,0.8070906400680542,0.0,-151.40029907226562,14.695398330688477,0.11585307866334915,44.0,-0.10502099245786667,44.0,1.963486671447754,172.63636779785156,173.67906188964844,106.74574279785156,1646.5686628818512,0.6866719472425309,0.08001531660556793,26.722238186526937
45000,0.7261573076248169,0.0,45.0,45,-8.1228465675998,98.16349029541016,232.39979553222656,1.0,1000.0,526.2824914095979,106.04326629638672,114.92654148520342,0.8028436303138733,0.0,-150.5921630859375,18.403657913208008,0.11762253940105438,45.0,-0.10041257739067078,45.0,1.9467676877975464,175.11917114257812,176.37872314453125,106.47957611083984,1682.2104980945587,-8.1228465675998,0.1942291408777237,26.75051668680676
46000,0.7243705987930298,0.0,46.0,46,-0.5828587016786754,101.06976318359375,232.67630004882812,1.0,1000.0,300.45728675560633,107.00860595703125,118.95981855629913,0.7632725238800049,0.0,-152.88681030273438,22.08258819580078,0.11825305968523026,46.0,-0.09845871478319168,46.0,1.9572726488113403,176.5586395263672,178.1105499267578,107.39947509765625,1718.8016030788422,-0.5828587016786754,0.1324419379234314,26.76283284679364
47000,0.7231205105781555,0.0,47.0,47,5.200137901013884,103.84513854980469,233.26495361328125,1.0,1000.0,429.0578291255541,108.1946029663086,125.55764856841094,0.8228012919425964,0.0,-153.24949645996094,30.475814819335938,0.11883696168661118,47.0,-0.09623213112354279,47.0,1.9759501218795776,177.0048828125,177.72006225585938,108.19061279296875,1754.0527744293213,5.200137901013884,0.03462763503193855,26.795088885105745
48000,0.7228088974952698,0.0,48.0,48,5.245504002135706,106.4798355102539,229.66819763183594,1.0,1000.0,127.73266620599706,107.07960510253906,125.60296143586062,0.8120933175086975,0.0,-155.4774627685547,47.10419464111328,0.11891432106494904,48.0,-0.09413903951644897,48.0,1.981837272644043,176.77134704589844,177.70169067382812,107.59989166259766,1789.6115119457245,5.245504002135706,-0.10300377756357193,26.821463585587257
49000,0.7215708494186401,0.0,49.0,49,6.020217235521648,108.97142791748047,226.9220733642578,1.0,1000.0,110.30120012712685,104.86015319824219,125.29068059282525,0.7973951101303101,0.0,-152.9048309326172,12.920392990112305,0.11916907876729965,49.0,-0.09090187400579453,49.0,1.9883882999420166,173.5777130126953,174.42015075683594,105.11775970458984,1825.5585775375366,6.020217235521648,0.025877127423882484,26.841099816197204
50000,0.7251515984535217,0.0,50.0,50,-2.8894775193440467,106.36324310302734,226.2136688232422,1.0,1000.0,87.08276619116609,104.86361694335938,124.52652230479207,0.8237664103507996,0.0,-148.8051300048828,21.83483123779297,0.11923913657665253,50.0,-0.09503000974655151,50.0,1.9743645191192627,172.80084228515625,173.89764404296875,105.28058624267578,1862.6935775279999,-2.8894775193440467,-0.03780693933367729,26.842847692831754
51000,0.7244234681129456,0.0,51.0,51,-1.9647930634417563,108.68946075439453,225.69219970703125,1.0,1000.0,264.87545505124325,104.72683715820312,127.27846216256562,0.8604099750518799,0.0,-148.80763244628906,32.395999908447266,0.11944731324911118,51.0,-0.09432794898748398,51.0,1.9861854314804077,171.70648193359375,172.6119842529297,105.3202896118164,1899.4065568447113,-1.9647930634417563,-0.09923380613327026,26.850491705536204
52000,0.7229592800140381,0.0,52.0,52,1.6882146090426888,110.94744110107422,225.11355590820312,1.0,1000.0,161.32567225815887,106.54436492919922,127.9332162028655,0.8758710622787476,0.0,-150.38771057128906,24.485034942626953,0.11974204331636429,52.0,-0.09119676053524017,52.0,1.989282250404358,171.55047607421875,172.65045166015625,107.01112365722656,1936.2533135414124,1.6882146090426888,-0.052826981991529465,26.855990193190095
53000,0.7240167260169983,0.0,53.0,53,-0.9277704263547069,113.04788970947266,219.75439453125,1.0,1000.0,-198.7990219917548,105.58322143554688,121.76845699164625,0.7953370809555054,0.0,-149.65805053710938,28.05780601501465,0.11850978434085846,53.0,-0.08786912262439728,53.0,1.9885696172714233,168.87750244140625,169.70425415039062,105.89448547363281,1972.2397046089172,-0.9277704263547069,-0.16054581105709076,26.8730012260399
