eval/return_history,total/steps,total/steps_per_second,param_noise_stddev,eval/return,total/episodes,ret_rms_mean,obs_rms_std,reference_perturbed_action_mean,reference_Q_mean,train/loss_actor,reference_action_std,total/epochs,total/duration,rollout/return,rollout/episode_steps,reference_Q_std,reference_perturbed_action_std,train/loss_critic,rollout/actions_std,ret_rms_std,rollout/return_history,rollout/episodes,reference_actor_Q_std,rollout/actions_mean,train/param_noise_distance,eval/episodes,reference_action_mean,reference_actor_Q_mean,obs_rms_mean,eval/Q,rollout/Q_mean
2127.1975758177114,334000,27.49870347193174,0.018730226766195082,1390.1373403838875,334.0,0.0,2.5421640872955322,0.29958412051200867,435.69873046875,-429.1241149902344,0.7409332990646362,334,12146.02718782425,1259.380258197463,1000.0,3.5743751525878906,0.7444836497306824,103.9072265625,0.6723878383636475,1.0,1761.0842701990987,334.0,3.7791731357574463,0.17359130084514618,0.19267448782920837,334.0,0.2899479866027832,438.0238037109375,0.12651193141937256,454.4324645996094,357.78106689453125
2128.4644029132105,335000,27.489023934451232,0.018730226766195082,1908.8911930312454,335.0,0.0,2.5429413318634033,0.28877466917037964,434.22467041015625,-428.8515930175781,0.7492375373840332,335,12186.68224811554,1260.0648417210834,1000.0,3.7452592849731445,0.7302277088165283,149.3258819580078,0.6724477410316467,1.0,1753.0971069135467,335.0,3.7465078830718994,0.17357778549194336,0.21667152643203735,335.0,0.2491626739501953,436.6891784667969,0.12655040621757507,460.15460205078125,358.06903076171875
2125.9348640041453,336000,27.480965913947458,0.018361167303396805,1177.8280833138451,336.0,0.0,2.5453968048095703,0.1701427549123764,434.80718994140625,-427.38531494140625,0.7425224184989929,336,12226.644472837448,1259.7166724603255,1000.0,3.620993137359619,0.7460516095161438,220.9775390625,0.6725927591323853,1.0,1741.5817535137946,336.0,3.802845001220703,0.17363303899765015,0.2231193110346794,336.0,0.2231845259666443,437.22747802734375,0.12657630443572998,371.8472900390625,358.32891845703125
2124.992109507236,337000,27.475906624298318,0.018730226766195082,2244.1940908975475,337.0,0.0,2.54524827003479,0.13464561104774475,437.1060791015625,-429.9468688964844,0.7459542155265808,337,12265.291355371475,1262.2709469148895,1000.0,3.2932112216949463,0.7512143850326538,140.02369689941406,0.6725215911865234,1.0,1746.80240007457,337.0,3.3693079948425293,0.17365020513534546,0.20394980162382126,337.0,0.23886780440807343,439.3065490722656,0.12659496068954468,467.4122009277344,358.64459228515625
2126.5247077920403,338000,27.469182905213383,0.018730226766195082,2320.6914385037403,338.0,0.0,2.5457675457000732,0.24199290573596954,437.8763427734375,-430.5040283203125,0.7465466856956482,338,12304.698001623154,1265.5880019946078,1000.0,4.07260274887085,0.7421588897705078,206.92835998535156,0.6724513173103333,1.0,1767.4581413085239,338.0,3.947725534439087,0.1732829511165619,0.22025740146636963,338.0,0.17238442599773407,439.7620849609375,0.12661659717559814,469.456298828125,358.9691467285156
2126.9237408859967,339000,27.463382359670792,0.018730226766195082,2351.7747858464136,339.0,0.0,2.5455286502838135,0.1178087517619133,437.3583679199219,-430.9249572753906,0.7649280428886414,339,12343.708999872208,1267.9928742971342,1000.0,4.334194183349609,0.7802592515945435,107.28229522705078,0.6722667813301086,1.0,1767.698852005766,339.0,4.341475963592529,0.17316001653671265,0.19012022018432617,339.0,0.11910030990839005,439.17852783203125,0.12666426599025726,468.8421936035156,359.2889709472656
2125.159182755275,340000,27.450022583074364,0.019106704324195603,2012.6033268271472,340.0,0.0,2.546316623687744,0.24021975696086884,439.0802917480469,-432.067626953125,0.7479369044303894,340,12386.146458387375,1269.8948632133684,1000.0,4.272636890411377,0.739492654800415,181.01535034179688,0.6722928285598755,1.0,1786.6382660413938,340.0,4.039394855499268,0.17308078706264496,0.2028517946600914,340.0,0.25731736421585083,441.885009765625,0.12670151889324188,419.881591796875,359.5998229980469
2124.2774894814156,341000,27.437040239810077,0.017999379770019416,2263.382428344708,341.0,0.0,2.546844720840454,0.2850480079650879,440.57098388671875,-431.7483215332031,0.7498501539230347,341,12428.45427274704,1272.522588723749,1000.0,3.8321173191070557,0.7508299350738525,181.03468322753906,0.6722983717918396,1.0,1787.007364703503,341.0,4.00164270401001,0.17310503125190735,0.21440649032592773,341.0,0.29326769709587097,442.8880615234375,0.12679563462734222,467.04669189453125,359.91400146484375
2127.9949555282965,342000,27.427826019058102,0.019490749081111935,2325.126636433826,342.0,0.0,2.5491206645965576,0.17642800509929657,441.4027099609375,-430.725830078125,0.7545526623725891,342,12469.088864803314,1271.8092076569576,1000.0,3.2032737731933594,0.7683708071708679,235.88743591308594,0.6726801991462708,1.0,1777.012514301896,342.0,3.4400670528411865,0.1728893369436264,0.20058845728635788,342.0,0.15628524124622345,443.64849853515625,0.12684224545955658,464.2535095214844,360.0085144042969
2133.601385517696,343000,27.418368510234302,0.019106704324195603,2373.030347021895,343.0,0.0,2.552553653717041,0.13366834819316864,441.7928466796875,-432.3672180175781,0.768655002117157,343,12509.861769199371,1267.8213116599866,1000.0,3.1219396591186523,0.7834145426750183,140.03939819335938,0.6735799908638,1.0,1756.0673102268959,343.0,3.1056344509124756,0.17231518030166626,0.21831917762756348,343.0,0.18227680027484894,444.14178466796875,0.12690766155719757,469.9507141113281,359.36138916015625
