eval/return,eval/Q,obs_rms_std,reference_action_std,rollout/Q_mean,rollout/return_history,reference_actor_Q_mean,total/steps,train/loss_actor,reference_perturbed_action_mean,total/duration,rollout/episode_steps,reference_perturbed_action_std,reference_action_mean,ret_rms_std,rollout/return,rollout/actions_mean,train/param_noise_distance,rollout/episodes,ret_rms_mean,eval/episodes,train/loss_critic,total/steps_per_second,total/episodes,reference_Q_std,reference_Q_mean,obs_rms_mean,reference_actor_Q_std,total/epochs,rollout/actions_std,param_noise_stddev,eval/return_history
-2438.7461386766536,-154.97206115722656,0.3993247449398041,0.9997905492782593,-63.395477294921875,-1803.3174014029814,-29.92825698852539,31000,132.3644256591797,-0.0002142488956451416,442.5470645427704,772.6,0.99978107213974,-0.00020401179790496826,1.0,-1803.3174014029814,-0.28398653864860535,0.26511150598526,40.0,0.0,31.0,42.45277786254883,70.04904672010083,40.0,9.380427360534668,-25.628238677978516,0.02161541022360325,9.968965530395508,31,0.867311418056488,0.006145386071268126,-2161.7321455055985
-1922.69943484967,-152.9493408203125,0.39878860116004944,0.9986671805381775,-65.62923431396484,-1660.9921239790433,-31.061067581176758,32000,138.76199340820312,-0.00018581748008728027,455.8811514377594,709.5909090909091,0.999803364276886,-0.0013291090726852417,1.0,-1660.9921239790433,-0.275119423866272,0.24979646503925323,44.0,0.0,32.0,19.160823822021484,70.19373338660372,44.0,7.690775394439697,-30.428543090820312,0.021939478814601898,7.680164337158203,32,0.8731511235237122,0.006145386071268126,-2154.2623732976012
-153.8538767555852,-124.56610870361328,0.40527841448783875,0.8969534039497375,-68.45486450195312,-1691.5629361241752,-16.981395721435547,33000,134.68344116210938,-0.17775720357894897,465.95106172561646,716.0444444444445,0.8562138676643372,-0.4272560477256775,1.0,-1691.5629361241752,-0.26922929286956787,0.13583458960056305,45.0,0.0,33.0,29.35199737548828,70.82288830459332,45.0,8.11034870147705,-19.953327178955078,0.021596556529402733,7.900633335113525,33,0.8760223388671875,0.0059055952237471445,-2093.6439340084494
-1097.1711793560546,-162.4552764892578,0.4118047058582306,0.899407684803009,-70.95196533203125,-1646.0283550120837,-9.424341201782227,34000,136.39413452148438,-0.6188067197799683,477.74032711982727,694.0625,0.7660069465637207,-0.4291950464248657,1.0,-1646.0283550120837,-0.26829099655151367,0.5452901124954224,48.0,0.0,34.0,26.88210678100586,71.16836923727413,48.0,10.106804847717285,-11.660569190979004,0.020924601703882217,10.342082023620605,34,0.8784105181694031,0.0049371798576567285,-2064.3359118127905
-1263.450025647835,-168.762939453125,0.4140740931034088,0.901293933391571,-72.9968490600586,-1673.994835812383,-10.004365921020508,35000,137.23712158203125,-0.6013585925102234,489.7579400539398,700.3061224489796,0.7503286600112915,-0.4275483787059784,1.0,-1673.994835812383,-0.2691912353038788,0.31791141629219055,49.0,0.0,35.0,36.61464309692383,71.46387457474452,49.0,10.662666320800781,-10.314085006713867,0.02048114314675331,11.1381254196167,35,0.8804646134376526,0.004295163650301133,-2041.4534579223632
-646.1710953611356,-162.24447631835938,0.41757962107658386,0.9023308157920837,-75.41532135009766,-1625.0224199608226,-14.181999206542969,36000,142.67401123046875,-0.441365122795105,500.711852312088,670.7358490566038,0.8799203634262085,-0.42719975113868713,1.0,-1625.0224199608226,-0.2694697678089142,0.1663772016763687,53.0,0.0,36.0,52.265953063964844,71.89763899888995,53.0,10.799980163574219,-13.92424488067627,0.020122116431593895,10.702916145324707,36,0.8826392889022827,0.004295163650301133,-2002.6956145178847
-1268.5390608630016,-171.10256958007812,0.4227767884731293,0.8643734455108643,-78.01432800292969,-1649.1189847309781,-14.2255859375,37000,148.4413604736328,-0.44128403067588806,512.7199032306671,676.8333333333334,0.8772557973861694,-0.4992485046386719,1.0,-1649.1189847309781,-0.27008160948753357,0.13593563437461853,54.0,0.0,37.0,25.269569396972656,72.16415779231824,54.0,11.543185234069824,-15.353507995605469,0.019847268238663673,11.428855895996094,37,0.8845253586769104,0.004651046760498564,-1982.853545500185
-1851.0775095005508,-182.05198669433594,0.4265716075897217,0.8661823272705078,-80.85135650634766,-1643.2903118000047,-19.19558334350586,38000,149.08863830566406,-0.5104403495788574,525.702109336853,670.7142857142857,0.8386383652687073,-0.4973021149635315,1.0,-1643.2903118000047,-0.2727251350879669,0.044283557683229446,56.0,0.0,38.0,39.9504280090332,72.28428291439634,56.0,11.164850234985352,-19.335651397705078,0.01920916885137558,10.944225311279297,38,0.8856819868087769,0.005137649157968821,-1979.385755079142
-1338.218960359096,-180.47747802734375,0.4261849522590637,0.9587700963020325,-83.24945831298828,-1667.0736948982453,-26.736169815063477,39000,150.57740783691406,-0.308761328458786,537.8602607250214,676.4912280701755,0.9201845526695251,-0.2795955240726471,1.0,-1667.0736948982453,-0.2771334648132324,0.3901190757751465,57.0,0.0,39.0,17.25086212158203,72.50953983369033,57.0,9.885979652404785,-25.410545349121094,0.018884895369410515,9.461860656738281,39,0.8862615823745728,0.004839897909672315,-1962.945580855551
-1831.7609763481814,-192.2628631591797,0.425009161233902,0.9668806195259094,-85.61906433105469,-1690.3687802746626,-37.6260986328125,40000,154.13597106933594,-0.3213789165019989,550.8761086463928,682.0689655172414,0.9210303425788879,-0.25187718868255615,1.0,-1690.3687802746626,-0.28123292326927185,0.4949297606945038,58.0,0.0,40.0,50.04124450683594,72.61160789544421,58.0,9.547553062438965,-35.44465637207031,0.018500834703445435,9.202178955078125,40,0.8867926001548767,0.005137649157968821,-1959.6659657428668
-662.7373028428414,-197.70791625976562,0.4251936972141266,0.9670000672340393,-88.47602081298828,-1685.518025929388,-44.657806396484375,41000,156.86647033691406,-0.2899482846260071,561.9358355998993,676.8166666666667,0.9182910323143005,-0.2518691122531891,1.0,-1685.518025929388,-0.28334006667137146,0.14574863016605377,60.0,0.0,41.0,60.106407165527344,72.96206684563926,60.0,9.574179649353027,-43.139183044433594,0.017935046926140785,9.270421028137207,41,0.8877261281013489,0.005137649157968821,-1928.0335593306709
