rollout/episodes,reference_actor_Q_mean,eval/Q,eval/episodes,total/steps,total/episodes,reference_action_std,total/duration,reference_action_mean,train/loss_critic,rollout/actions_mean,obs_rms_mean,rollout/episode_steps,reference_Q_std,rollout/Q_mean,eval/return,rollout/return,total/epochs,train/param_noise_distance,reference_actor_Q_std,rollout/actions_std,obs_rms_std,train/loss_actor,eval/return_history,rollout/return_history,total/steps_per_second,reference_Q_mean,ret_rms_mean,ret_rms_std
41.0,101.55097961425781,118.90074920654297,41.0,41000,41.0,0.5564427375793457,737.8391404151917,0.1311553567647934,7.326010227203369,0.03933009132742882,0.0596122182905674,1000.0,9.472549438476562,60.37227249145508,531.3610071184991,11.939009879281079,41,0.0,9.476712226867676,0.5913640856742859,1.731628656387329,-107.08700561523438,162.1451961612097,11.939009879281079,55.567667468723286,100.79586791992188,0.0,1.0
42.0,102.99227905273438,119.19237518310547,42.0,42000,42.0,0.5494605302810669,755.741537809372,0.13345511257648468,10.445272445678711,0.035825036466121674,0.05819389224052429,1000.0,9.63284969329834,61.7706298828125,473.8359012444116,19.491551351284752,42,0.0,9.573321342468262,0.5937678217887878,1.7294225692749023,-108.42778015136719,169.56640342509547,19.491551351284752,55.57455545151478,102.26638793945312,0.0,1.0
43.0,103.98600006103516,120.71479797363281,43.0,43000,43.0,0.6899557709693909,773.5515930652618,0.027434920892119408,10.751416206359863,0.03766001760959625,0.05729497969150543,1000.0,9.78764820098877,63.08993148803711,441.7594965747874,23.929215059471936,43,0.0,10.01737117767334,0.594048023223877,1.7341309785842896,-109.37344360351562,175.89647535880923,23.929215059471936,55.58775960839142,103.42636108398438,0.0,1.0
44.0,105.36995697021484,121.83689880371094,44.0,44000,44.0,0.5756792426109314,791.4425327777863,-0.027297018095850945,6.805664539337158,0.03438861668109894,0.05543646961450577,1000.0,9.561258316040039,64.40542602539062,561.6424247537041,25.44790407717928,44,0.0,9.40366268157959,0.595496416091919,1.7257957458496094,-111.0928726196289,184.66342875414776,25.44790407717928,55.59468714117479,104.41545104980469,0.0,1.0
45.0,105.68060302734375,124.49205017089844,45.0,45000,45.0,0.5793745517730713,809.2347857952118,-0.05339102819561958,9.353468894958496,0.03328631445765495,0.05483902618288994,1000.0,9.596108436584473,65.64742279052734,763.1165231780532,32.538340588745925,45,0.0,9.436150550842285,0.5952231884002686,1.7338662147521973,-112.15434265136719,197.51794196356786,32.538340588745925,55.60808901186791,104.73666381835938,0.0,1.0
46.0,106.89999389648438,124.92757415771484,46.0,46000,46.0,0.5444275736808777,827.0346508026123,-0.13567280769348145,18.596084594726562,0.03149831295013428,0.054186899214982986,1000.0,9.274678230285645,66.77008056640625,433.44680709246694,37.41892241543143,46,0.0,9.321000099182129,0.5955783128738403,1.736769676208496,-113.46295166015625,202.64683033593522,37.41892241543143,55.62040230764017,106.27000427246094,0.0,1.0
47.0,108.35415649414062,127.80182647705078,47.0,47000,47.0,0.5412147641181946,844.9654951095581,-0.09715235978364944,11.511296272277832,0.027748385444283485,0.05282061919569969,1000.0,10.153486251831055,68.02255249023438,821.4843193690252,45.075529027912346,47,0.0,10.147815704345703,0.5961347222328186,1.7363489866256714,-115.07572937011719,215.81358542174564,45.075529027912346,55.62357311869402,107.12786865234375,0.0,1.0
48.0,109.8652572631836,127.46123504638672,48.0,48000,48.0,0.5361421704292297,862.8328173160553,-0.07024828344583511,6.814487457275391,0.02630309946835041,0.052199508994817734,1000.0,9.863799095153809,69.26823425292969,567.2019266996731,59.52658903475427,48,0.0,9.768570899963379,0.5949939489364624,1.740533709526062,-116.89645385742188,223.13417586503581,59.52658903475427,55.63070740553163,108.7711181640625,0.0,1.0
49.0,111.85989379882812,121.82137298583984,49.0,49000,49.0,0.5358017683029175,880.7278642654419,-0.08673130720853806,4.142213821411133,0.020801959559321404,0.05103752017021179,1000.0,10.541394233703613,70.50238037109375,291.668501315292,70.918301204852,49,0.0,10.566110610961914,0.596630871295929,1.7443031072616577,-118.9058609008789,224.53283556810229,70.918301204852,55.635800782648936,110.68356323242188,0.0,1.0
50.0,114.05419921875,131.61634826660156,50.0,50000,50.0,0.48596540093421936,898.6972777843475,0.008704538457095623,7.362106800079346,0.01987197995185852,0.05079580098390579,1000.0,8.783051490783691,71.597900390625,762.5594919657111,76.4553234689789,50,0.0,8.68721866607666,0.5980671048164368,1.7436518669128418,-120.9006576538086,235.29336869605447,76.4553234689789,55.6360870740259,112.99664306640625,0.0,1.0
