eval/episodes,ret_rms_mean,reference_actor_Q_std,train/loss_critic,rollout/episode_steps,total/duration,total/steps_per_second,reference_Q_std,rollout/actions_mean,total/epochs,rollout/episodes,rollout/actions_std,total/steps,reference_actor_Q_mean,ret_rms_std,eval/Q,rollout/return_history,rollout/return,train/loss_actor,reference_action_std,reference_action_mean,rollout/Q_mean,reference_Q_mean,obs_rms_mean,eval/return_history,eval/return,train/param_noise_distance,total/episodes,obs_rms_std
41.0,0.0,9.512150764465332,59.72785186767578,1000.0,744.0362350940704,55.10484310594936,9.532465934753418,-0.07299862056970596,41,41.0,0.6443333029747009,41000,193.99960327148438,1.0,224.91082763671875,389.8503350245416,389.8503350245416,-212.87420654296875,0.7949007749557495,-0.07327289134263992,116.72195434570312,192.38424682617188,0.039979614317417145,724.6848239065573,957.2217148191075,0.0,41.0,2.17922306060791
42.0,0.0,9.569193840026855,37.53048324584961,1000.0,762.1174161434174,55.10961842669178,9.411476135253906,-0.06737731397151947,42,42.0,0.6470401883125305,42000,198.19827270507812,1.0,236.5530242919922,384.055391898339,384.055391898339,-216.5078887939453,0.7871808409690857,-0.051111623644828796,118.70228576660156,196.216796875,0.04258810356259346,743.1533136772579,1500.3613942759798,0.0,42.0,2.1787219047546387
43.0,0.0,10.018935203552246,26.511079788208008,1000.0,780.2021472454071,55.1139216314854,10.213577270507812,-0.07176738232374191,43,43.0,0.6477991938591003,43000,201.74472045898438,1.0,241.47872924804688,396.74463152399494,396.74463152399494,-221.029296875,0.8140525221824646,-0.05818544700741768,121.40047454833984,199.56982421875,0.04204284027218819,766.171154172015,1732.9204549518186,0.0,43.0,2.1803252696990967
44.0,0.0,9.162216186523438,17.058164596557617,1000.0,798.368860244751,55.11236997208432,9.810465812683105,-0.07928021252155304,44,44.0,0.648073136806488,44000,207.47723388671875,1.0,237.8529510498047,383.30095233720954,383.30095233720954,-225.16749572753906,0.8507689237594604,0.015163886360824108,122.92515563964844,205.6311492919922,0.04279984533786774,777.0205330133266,1243.5438231897172,0.0,44.0,2.175990104675293
45.0,0.0,9.724091529846191,61.74241256713867,1000.0,816.5414922237396,55.110487866879396,10.338595390319824,-0.07876171916723251,45,45.0,0.6486283540725708,45000,214.80148315429688,1.0,234.71229553222656,398.0809035664307,398.0809035664307,-229.54766845703125,0.7838053107261658,0.22147493064403534,125.59725189208984,212.67034912109375,0.04286094754934311,779.4767211840342,887.5490006951744,0.0,45.0,2.181640625
46.0,0.0,8.774201393127441,28.772314071655273,1000.0,834.81050157547,55.10232551362009,9.758164405822754,-0.07813770323991776,46,46.0,0.6491113901138306,46000,221.495849609375,1.0,252.34378051757812,396.81864402711494,396.81864402711494,-233.58482360839844,0.7756060361862183,0.19741640985012054,127.5741195678711,218.9691162109375,0.04414018988609314,787.4021089286127,1144.044557434645,0.0,46.0,2.1884517669677734
47.0,0.0,10.086609840393066,61.18364334106445,1000.0,852.8359043598175,55.11025011931295,10.560669898986816,-0.07877707481384277,47,47.0,0.6487347483634949,47000,223.96978759765625,1.0,253.35044860839844,403.8664364250072,403.8664364250072,-236.57394409179688,0.8379338979721069,0.05541186407208443,130.1251678466797,222.01119995117188,0.0438997782766819,794.3007038783203,1111.636071564867,0.0,47.0,2.1905601024627686
48.0,0.0,10.802569389343262,26.366518020629883,1000.0,870.9662766456604,55.11120382853593,11.20566463470459,-0.0780206248164177,48,48.0,0.6488927006721497,48000,227.2297821044922,1.0,258.2353210449219,414.4956098278578,414.4956098278578,-241.76498413085938,0.826543390750885,0.21717415750026703,132.55697631835938,225.1370849609375,0.04448904097080231,805.8002778697664,1346.2802554677364,0.0,48.0,2.1928722858428955
49.0,0.0,11.988127708435059,47.58100891113281,1000.0,888.9985563755035,55.11819974126361,12.001733779907227,-0.08039556443691254,49,49.0,0.6489681601524353,49000,232.92263793945312,1.0,262.24603271484375,420.406385208535,420.406385208535,-246.65855407714844,0.8207489848136902,0.01490075420588255,135.14207458496094,230.50790405273438,0.04354306682944298,809.291487347317,976.8695422697422,0.0,49.0,2.1899220943450928
50.0,0.0,11.248881340026855,28.721162796020508,1000.0,907.0401341915131,55.1243524020768,11.795310020446777,-0.07867031544446945,50,50.0,0.6493145823478699,50000,236.0079345703125,1.0,270.626708984375,433.6461234437248,433.6461234437248,-250.9441375732422,0.8058547377586365,0.014078815467655659,137.78028869628906,234.23126220703125,0.04372556880116463,823.1051487475514,1499.9745573590378,0.0,50.0,2.1899917125701904
