total/episodes,train/param_noise_distance,rollout/episode_steps,rollout/Q_mean,total/epochs,eval/return,total/steps,eval/return_history,rollout/actions_mean,reference_Q_std,ret_rms_mean,ret_rms_std,rollout/episodes,train/loss_actor,eval/episodes,reference_action_mean,reference_action_std,reference_actor_Q_std,rollout/actions_std,obs_rms_std,reference_actor_Q_mean,eval/Q,rollout/return,obs_rms_mean,total/steps_per_second,reference_Q_mean,rollout/return_history,train/loss_critic,total/duration
886.0,0.0,1000.0,321.47052001953125,886,2404.2024956390956,886000,2720.0113111269457,-0.04379386827349663,127.98548889160156,0.0,1.0,886.0,-459.2304382324219,886.0,-0.03920436277985573,0.7940914630889893,126.77181243896484,0.6626150012016296,2.2067339420318604,393.0247497558594,492.8406066894531,1183.065272116514,0.0936141312122345,81.78343858100409,388.03375244140625,2074.118801582988,23.91408920288086,10833.489217042923
887.0,0.0,1000.0,321.65240478515625,887,2946.454044131951,887000,2719.1944462035153,-0.043857403099536896,124.44246673583984,0.0,1.0,887.0,-461.9531555175781,887.0,-0.08457990735769272,0.7898321747779846,123.98089599609375,0.6627322435379028,2.207364559173584,396.55364990234375,503.33758544921875,1184.0433552543373,0.09367813169956207,81.77959889729188,392.9176025390625,2071.284865474202,88.97139739990234,10846.225855350494
888.0,0.0,1000.0,321.83837890625,888,2746.6850911255124,888000,2719.7111604007036,-0.04375206306576729,120.34758758544922,0.0,1.0,888.0,-461.6812744140625,888.0,-0.0646495372056961,0.7392554879188538,120.15023040771484,0.6627103090286255,2.2079172134399414,400.701416015625,500.5775146484375,1185.0054684897905,0.09374076128005981,81.7760418035773,397.623779296875,2078.0040230213576,287.8996276855469,10858.926164865494
889.0,0.0,1000.0,322.02081298828125,889,2562.6793942517697,889000,2718.4353704931364,-0.04372554272413254,119.10414123535156,0.0,1.0,889.0,-460.5458068847656,889.0,0.12241596728563309,0.7022477388381958,119.06633758544922,0.6627188324928284,2.2079827785491943,401.7861328125,497.5096130371094,1185.692869187347,0.09377234429121017,81.77222372181684,398.7518005371094,2075.0878270516523,248.4149932861328,10871.662277698517
890.0,0.0,1000.0,322.2096252441406,890,2669.0976441006233,890000,2720.7000529522074,-0.043851178139448166,117.1123275756836,0.0,1.0,890.0,-462.5411682128906,890.0,0.18079473078250885,0.7253361344337463,117.29335021972656,0.6628081798553467,2.2082691192626953,403.7806091308594,499.0429992675781,1186.8358747112434,0.09381163865327835,81.76827560903608,400.80169677734375,2076.563720481886,234.638671875,10884.416888713837
891.0,0.0,1000.0,322.4029235839844,891,2954.675399486491,891000,2729.604977656464,-0.04389629513025284,115.40618896484375,0.0,1.0,891.0,-464.1601257324219,891.0,0.017757609486579895,0.7219876646995544,115.80005645751953,0.6628524661064148,2.208540678024292,404.3116455078125,503.202392578125,1188.1514564570887,0.0938807874917984,81.7644212201043,400.77557373046875,2084.647041645465,104.37857055664062,10897.160240411758
892.0,0.0,1000.0,322.6014709472656,892,2868.7931199574164,892000,2737.025172986211,-0.04397949203848839,112.86477661132812,0.0,1.0,892.0,-460.57928466796875,892.0,0.02381964959204197,0.7231375575065613,113.37842559814453,0.6628514528274536,2.2086594104766846,407.2908935546875,505.72430419921875,1189.7429643681935,0.09394913911819458,81.76040375417178,404.1939697265625,2089.0100482860335,358.6054992675781,10909.926554203033
893.0,0.0,1000.0,322.7984619140625,893,2865.346986870519,893000,2735.1520641467755,-0.04428734630346298,112.14678192138672,0.0,1.0,893.0,-462.7921142578125,893.0,-0.10839361697435379,0.7497576475143433,112.97577667236328,0.6629180908203125,2.208564281463623,406.9217834472656,505.522705078125,1190.9874244180176,0.09397013485431671,81.75566354537777,403.0350646972656,2096.8631072562353,225.4299774169922,10922.790682315826
894.0,0.0,1000.0,322.9649353027344,894,2802.9891444750147,894000,2735.740731493723,-0.044223371893167496,113.190673828125,0.0,1.0,894.0,-463.5302429199219,894.0,-0.11135179549455643,0.7424914240837097,113.69818878173828,0.662960410118103,2.209582567214966,405.766845703125,504.647705078125,1191.433402248266,0.09402966499328613,81.75180264231443,402.6020812988281,2090.2954187306455,325.91619873046875,10935.538680553436
895.0,0.0,1000.0,323.1567687988281,895,3027.2348440677197,895000,2738.260004681493,-0.04428877308964729,112.40755462646484,0.0,1.0,895.0,-463.6503601074219,895.0,-0.2309943586587906,0.712409496307373,113.16524505615234,0.6630390286445618,2.20976185798645,408.1775207519531,505.9869079589844,1192.8948519594435,0.09410311281681061,81.74791351337369,405.3372802734375,2095.0681969223674,225.4320831298828,10948.29166316986
